# Infill density,Matrix resistivity (kohm.cm)
94.4557,0.685333102
94.9781,0.678176983
98.1121,0.637604006
98.208,0.636422948
95.0301,0.677471076
94.7703,0.681009442
94.968,0.678314226
98.3852,0.634249646
95.2485,0.674518813
98.164,0.636964404
98.1919,0.636620988
97.822,0.64119774
95.1316,0.676096516
95.1573,0.675749168
94.8401,0.680055954
94.5563,0.68394585
98.3778,0.634340171
94.3189,0.687226636
95.3059,0.673746246
94.46,0.685273716
94.1314,0.689835301
94.2372,0.688361413
98.3524,0.634651049
95.0817,0.676771738
95.2464,0.674547104
95.2892,0.673970874
94.6573,0.682557506
94.3705,0.686511446
94.2795,0.687773518
94.3514,0.686776041
94.042,0.691084583
95.3924,0.672584628
98.1901,0.636643135
94.7044,0.681911581
98.2627,0.635750825
94.3047,0.687423657
95.404,0.67242909
98.2228,0.636240984
94.4315,0.685667473
94.675,0.682314658
94.051,0.690958656
95.0804,0.676789343
94.1966,0.688926423
95.4257,0.672138276
94.626,0.682987282
94.5893,0.683491746
95.2537,0.674448767
94.8662,0.679699958
98.3706,0.63442827
97.8476,0.640879333
94.2892,0.687638817
94.3354,0.686997815
94.8547,0.679856778
94.1868,0.689062913
95.4162,0.672265567
98.2852,0.635474681
94.7347,0.681496556
94.2524,0.68815007
94.7133,0.681789635
94.3978,0.686133532
94.6158,0.683127429
95.3735,0.67283817
95.1048,0.676459029
97.9485,0.639626773
94.3357,0.686993655
94.8547,0.679856778
98.3021,0.635267389
94.1911,0.689003019
94.5562,0.683947227
98.3673,0.634468655
95.3577,0.673050241
94.7302,0.681558169
98.0361,0.638542428
95.3588,0.673035473
95.354,0.673099918
95.3937,0.672567194
94.6386,0.682814222
94.5892,0.683493121
94.5352,0.684236449
98.0168,0.638781083
94.5289,0.684323253
94.5269,0.684350814
97.8577,0.64075378
94.1943,0.688958452
94.4639,0.685219861
94.9419,0.678669084
94.7589,0.681165369
94.2871,0.687667975
94.7292,0.681571861
94.2623,0.688012473
94.3662,0.686571001
94.3197,0.687215539
95.2412,0.674617166
97.8069,0.641385667
95.4227,0.672178469
95.0321,0.677443949
95.4054,0.672410322
98.1028,0.637718723
95.0322,0.677442593
98.2859,0.635466093
97.8509,0.640838306
94.6262,0.682984535
98.4023,0.634040535
97.9873,0.639146137
94.2032,0.688834524
95.1512,0.675831587
94.5754,0.683682962
94.9133,0.679058267
95.1986,0.675191565
94.4799,0.684998986
94.5623,0.68386325
94.5247,0.684381132
94.5007,0.684712017
95.1469,0.675889696
94.087,0.690455306
95.1001,0.676522635
95.2859,0.674015275
95.0908,0.676648523
94.7239,0.681644441
94.1974,0.688915282
95.0703,0.676926146
94.918,0.678994286
94.3586,0.68667628
98.2531,0.635868704
94.2002,0.688876294
98.1303,0.637379599
94.6212,0.683053228
94.5274,0.684343923
94.7383,0.681447273
94.4515,0.685391115
98.015,0.638803348
95.1623,0.675681624
95.1061,0.676441437
97.9246,0.639923117
95.4139,0.67229639
98.1604,0.637008737
94.2612,0.688027759
94.5998,0.683347357
94.0775,0.690588079
95.0602,0.677062991
95.1584,0.675734308
94.6981,0.681997923
94.0352,0.691179752
94.8216,0.680308465
94.2147,0.688674444
94.2159,0.688657744
98.2081,0.636421718
97.9888,0.639127567
98.3779,0.634338948
95.0886,0.676678308
95.1568,0.675755924
97.7881,0.641619762
98.0493,0.638379284
98.0833,0.637959364
94.3974,0.686139067
94.5382,0.68419512
94.2998,0.687491664
94.2372,0.688361413
94.4358,0.685608042
94.9321,0.678802401
97.7776,0.641750565
94.8991,0.679251628
98.1453,0.637194742
98.013,0.638828088
94.5842,0.683561895
97.9149,0.640043453
94.448,0.685439465
98.3337,0.634880076
98.2174,0.636307367
95.2663,0.674279088
98.2064,0.636442625
94.4298,0.685690972
97.929,0.639868544
94.1959,0.688936171
95.3228,0.673519047
94.4882,0.684884452
94.0878,0.690444127
97.9882,0.639134994
95.0471,0.677240549
94.1894,0.689026697
98.2321,0.636126684
97.8538,0.640802256
94.1221,0.689965094
94.5956,0.683405107
97.9374,0.639764379
94.181,0.689143713
94.3253,0.687137867
97.9507,0.639599505
95.2371,0.674672416
94.2771,0.687806853
94.6799,0.682247452
94.6964,0.682021225
94.8412,0.680040944
98.4007,0.634060097
94.4683,0.685159109
94.4786,0.685016928
95.0037,0.677829316
95.1999,0.675174025
94.298,0.687516649
94.7649,0.681083295
94.8263,0.6802443
94.8425,0.680023206
94.231,0.688447648
94.2073,0.688777446
94.9532,0.678515412
94.9763,0.678201439
94.2853,0.68769297
94.9102,0.679100472
94.6204,0.68306422
94.5266,0.684354948
98.2771,0.635574071
94.4752,0.685063857
94.4905,0.684852719
94.8166,0.680376737
94.5618,0.683870133
94.9305,0.678824171
97.9958,0.639040918
98.0052,0.63892459
95.1685,0.675597883
95.1614,0.675693781
94.1806,0.689149286
94.7972,0.680641732
98.1253,0.637441237
94.68,0.682246081
94.3015,0.687468069
98.1207,0.637497952
94.2243,0.688540857
98.0969,0.637791517
95.1691,0.67558978
98.1896,0.636649287
95.313,0.67365078
94.3303,0.687068529
95.1939,0.675254985
94.0552,0.690899902
94.8908,0.679364689
94.7621,0.681121594
98.3633,0.634517611
94.0964,0.690323971
94.4777,0.68502935
94.6682,0.682407939
94.6535,0.682609661
95.3809,0.672738882
97.7971,0.641507678
97.7912,0.641581152
94.3898,0.686244242
95.2537,0.674448767
95.252,0.674471666
94.1682,0.689322083
98.1082,0.637652109
94.2603,0.688040267
94.6279,0.682961182
95.1624,0.675680273
95.3919,0.672591334
95.3883,0.672639617
95.0588,0.677081964
94.9103,0.679099111
98.2028,0.636486901
97.9649,0.639423548
94.9832,0.678107699
97.9618,0.639461955
95.4043,0.672425068
94.6469,0.68270026
98.3252,0.634984222
97.9078,0.640131555
94.6224,0.683036741
94.5353,0.684235071
94.9727,0.678250355
98.066,0.638172975
94.5714,0.683738004
94.6817,0.682222767
94.0531,0.690929278
94.925,0.678899014
94.6471,0.682697514
94.2324,0.688428175
94.3896,0.686247011
95.0236,0.677559252
94.2673,0.687942996
97.8632,0.640685425
97.8609,0.640714008
95.1916,0.675286024
94.1577,0.689468456
95.1948,0.67524284
94.891,0.679361964
94.8671,0.679687687
94.7341,0.681504771
95.196,0.675226648
95.323,0.673516359
95.0921,0.676630923
98.23,0.63615249
94.4085,0.685985501
94.4278,0.685718619
94.0753,0.690618832
94.3553,0.686722001
94.2476,0.688216799
95.2803,0.674090634
94.1432,0.689670671
95.3052,0.673755659
97.7767,0.641761779
94.6489,0.682672804
97.9379,0.63975818
97.9372,0.639766859
94.7796,0.680882281
95.0088,0.677760087
97.9263,0.639902031
94.0794,0.690561521
94.8647,0.679720409
95.2344,0.674708803
94.3555,0.68671923
97.9041,0.640177476
94.5684,0.68377929
94.9014,0.679220303
98.2614,0.635766786
97.778,0.641745582
94.3371,0.686974246
94.5816,0.683597661
94.0756,0.690614638
98.1391,0.63727114
94.9797,0.678155246
94.1705,0.689290027
95.4017,0.672459925
94.7428,0.681385676
95.0577,0.677096871
94.7797,0.680880913
94.9422,0.678665004
94.5448,0.684104209
94.342,0.68690632
94.8039,0.680550195
94.0709,0.690680344
94.6388,0.682811476
