Basal lumen diameter (mm),Infill density,Taper ratio,Cochlear width (mm),Cochlear height (mm),Matrix resistivity (kohm.cm)
2.44E+00,3.20E+01,9.26E-01,9.45E+00,4.43E+00,6.229626297
2.45E+00,3.60E+01,9.50E-01,8.84E+00,4.18E+00,4.819335758
2.47E+00,4.30E+01,9.30E-01,8.24E+00,4.93E+00,3.282752135
2.50E+00,2.47E+01,9.26E-01,1.00E+01,4.11E+00,11.51645117
2.47E+00,3.24E+01,9.54E-01,8.85E+00,4.84E+00,6.064034835
2.46E+00,2.74E+01,9.32E-01,1.01E+01,4.32E+00,8.989017138
2.48E+00,3.45E+01,9.44E-01,9.30E+00,4.48E+00,5.270737604
2.45E+00,2.52E+01,9.04E-01,1.05E+01,3.84E+00,11.00515438
2.46E+00,4.11E+01,9.51E-01,8.37E+00,4.82E+00,3.611683604
2.41E+00,3.91E+01,9.54E-01,8.33E+00,4.94E+00,4.027197552
2.44E+00,3.70E+01,9.33E-01,9.18E+00,4.56E+00,4.535161964
2.44E+00,3.09E+01,9.46E-01,9.37E+00,4.51E+00,6.763823291
2.47E+00,3.12E+01,9.22E-01,9.76E+00,4.25E+00,6.607314629
2.31E+00,2.74E+01,9.52E-01,1.04E+01,3.83E+00,8.9837044
2.45E+00,3.51E+01,9.43E-01,9.14E+00,4.43E+00,5.08120816
2.44E+00,3.13E+01,9.52E-01,9.01E+00,4.53E+00,6.570826154
2.37E+00,2.57E+01,9.34E-01,1.07E+01,3.96E+00,10.4793136
2.37E+00,3.56E+01,9.54E-01,9.11E+00,4.51E+00,4.925443668
2.41E+00,4.47E+01,9.58E-01,7.56E+00,4.83E+00,3.023053134
2.42E+00,3.55E+01,9.53E-01,8.26E+00,4.82E+00,4.941334203
2.50E+00,2.84E+01,9.53E-01,9.36E+00,4.70E+00,8.230557273
2.43E+00,2.78E+01,9.12E-01,1.02E+01,3.91E+00,8.647349338
2.48E+00,3.76E+01,9.53E-01,8.86E+00,4.69E+00,4.367858017
2.44E+00,2.53E+01,9.31E-01,1.05E+01,4.22E+00,10.81297846
2.49E+00,2.60E+01,9.55E-01,1.09E+01,4.47E+00,10.14616483
2.45E+00,3.61E+01,9.45E-01,8.67E+00,4.30E+00,4.78551749
2.45E+00,3.13E+01,9.49E-01,9.23E+00,4.22E+00,6.561787832
2.48E+00,3.00E+01,9.31E-01,9.84E+00,4.26E+00,7.242115861
2.39E+00,2.67E+01,9.59E-01,1.10E+01,4.25E+00,9.556458116
2.39E+00,3.35E+01,9.36E-01,9.37E+00,4.30E+00,5.634657082
2.38E+00,2.69E+01,9.28E-01,1.04E+01,3.92E+00,9.359070702
2.47E+00,3.20E+01,9.39E-01,9.18E+00,4.61E+00,6.231891069
2.31E+00,2.96E+01,9.60E-01,1.03E+01,4.37E+00,7.458233815
2.45E+00,2.48E+01,9.18E-01,1.08E+01,3.87E+00,11.437369
2.43E+00,2.37E+01,9.45E-01,1.01E+01,4.11E+00,12.80744727
2.38E+00,3.01E+01,9.52E-01,9.62E+00,4.38E+00,7.204953685
2.42E+00,3.59E+01,9.38E-01,9.45E+00,4.60E+00,4.833462162
2.46E+00,3.11E+01,9.51E-01,9.46E+00,4.40E+00,6.657747712
2.36E+00,2.54E+01,9.41E-01,1.04E+01,3.89E+00,10.75211928
2.33E+00,2.91E+01,9.42E-01,1.03E+01,4.05E+00,7.772211185
2.41E+00,2.93E+01,9.37E-01,1.01E+01,4.07E+00,7.642557317
2.37E+00,2.88E+01,9.17E-01,1.03E+01,3.89E+00,7.948720812
2.42E+00,3.24E+01,9.58E-01,9.08E+00,4.83E+00,6.073170938
2.49E+00,2.99E+01,9.40E-01,9.63E+00,4.10E+00,7.302353136
2.40E+00,2.65E+01,9.37E-01,9.99E+00,4.07E+00,9.730472765
2.42E+00,2.71E+01,9.38E-01,1.03E+01,4.05E+00,9.224974493
2.45E+00,3.10E+01,9.37E-01,9.24E+00,4.29E+00,6.699390026
2.37E+00,3.78E+01,9.59E-01,8.06E+00,4.75E+00,4.327214032
2.45E+00,3.46E+01,9.47E-01,8.68E+00,4.58E+00,5.240238761
2.39E+00,4.02E+01,9.54E-01,8.16E+00,4.54E+00,3.78168249
2.46E+00,3.17E+01,9.48E-01,8.87E+00,4.36E+00,6.402787815
2.46E+00,2.62E+01,9.39E-01,1.03E+01,4.22E+00,9.970521339
2.50E+00,3.84E+01,9.39E-01,8.41E+00,4.66E+00,4.184638108
2.48E+00,4.60E+01,9.59E-01,7.65E+00,4.79E+00,2.848894077
2.50E+00,2.49E+01,9.32E-01,1.03E+01,3.88E+00,11.32035571
2.45E+00,2.66E+01,9.20E-01,9.98E+00,4.02E+00,9.609507841
2.49E+00,3.20E+01,9.52E-01,9.17E+00,4.42E+00,6.270735372
2.49E+00,2.95E+01,9.59E-01,9.20E+00,4.71E+00,7.50067837
2.43E+00,3.44E+01,9.55E-01,9.23E+00,4.88E+00,5.313354977
2.46E+00,2.99E+01,9.16E-01,9.70E+00,4.19E+00,7.286208018
2.43E+00,4.37E+01,9.40E-01,7.97E+00,4.93E+00,3.175572197
2.32E+00,2.78E+01,9.51E-01,1.02E+01,3.87E+00,8.621734123
2.45E+00,2.86E+01,9.40E-01,1.03E+01,4.09E+00,8.07446195
2.27E+00,2.51E+01,9.53E-01,1.05E+01,3.78E+00,11.11095079
2.38E+00,2.62E+01,9.56E-01,1.04E+01,3.94E+00,10.00172449
2.39E+00,2.70E+01,9.58E-01,9.50E+00,4.34E+00,9.268679614
2.37E+00,2.61E+01,9.51E-01,1.02E+01,3.92E+00,10.06896555
2.38E+00,3.54E+01,9.51E-01,8.63E+00,4.32E+00,4.978060837
2.45E+00,2.84E+01,9.42E-01,1.00E+01,3.95E+00,8.261377504
2.42E+00,3.56E+01,9.58E-01,9.02E+00,4.36E+00,4.914179735
2.50E+00,3.33E+01,9.15E-01,9.69E+00,4.37E+00,5.707711993
2.29E+00,2.57E+01,9.55E-01,1.06E+01,3.64E+00,10.48952122
2.50E+00,4.03E+01,9.60E-01,7.79E+00,4.94E+00,3.77364924
2.37E+00,3.38E+01,9.52E-01,9.62E+00,4.52E+00,5.508827304
2.46E+00,3.42E+01,9.35E-01,9.62E+00,4.61E+00,5.378208136
2.47E+00,3.55E+01,9.54E-01,8.98E+00,4.89E+00,4.955657305
2.30E+00,3.21E+01,9.49E-01,9.88E+00,4.07E+00,6.219746867
2.49E+00,4.13E+01,9.41E-01,8.07E+00,4.62E+00,3.57095369
2.50E+00,3.57E+01,9.55E-01,8.65E+00,4.60E+00,4.881271831
2.50E+00,2.63E+01,9.51E-01,9.85E+00,4.55E+00,9.92296244
2.38E+00,2.61E+01,9.55E-01,9.59E+00,4.00E+00,10.03900275
2.41E+00,2.60E+01,9.44E-01,9.76E+00,4.09E+00,10.16926279
2.41E+00,4.84E+01,9.53E-01,7.88E+00,4.94E+00,2.561487059
2.42E+00,3.40E+01,9.49E-01,8.63E+00,4.61E+00,5.449745324
2.42E+00,4.29E+01,9.52E-01,8.04E+00,4.73E+00,3.297192822
2.47E+00,2.55E+01,9.36E-01,1.03E+01,3.78E+00,10.68299672
2.41E+00,2.70E+01,9.60E-01,9.77E+00,4.23E+00,9.273810804
2.43E+00,3.21E+01,9.46E-01,8.67E+00,4.58E+00,6.189837263
2.40E+00,2.83E+01,9.53E-01,9.81E+00,3.99E+00,8.286965723
2.48E+00,2.58E+01,9.27E-01,1.02E+01,4.17E+00,10.33158359
2.45E+00,2.64E+01,9.25E-01,1.01E+01,4.03E+00,9.819592655
2.50E+00,2.61E+01,9.38E-01,9.97E+00,3.71E+00,10.10603723
2.49E+00,2.89E+01,9.00E-01,1.01E+01,4.07E+00,7.876893431
2.38E+00,2.89E+01,9.54E-01,1.04E+01,4.24E+00,7.895365447
2.36E+00,3.16E+01,9.58E-01,9.74E+00,4.56E+00,6.424036916
2.46E+00,4.39E+01,9.45E-01,8.31E+00,4.57E+00,3.147688228
2.42E+00,3.01E+01,9.16E-01,1.03E+01,4.15E+00,7.160598197
2.48E+00,3.30E+01,9.35E-01,9.06E+00,4.52E+00,5.833630242
2.44E+00,3.17E+01,9.52E-01,9.66E+00,4.42E+00,6.366882193
2.48E+00,2.81E+01,9.40E-01,1.01E+01,4.01E+00,8.470158426
2.38E+00,4.56E+01,9.59E-01,8.30E+00,4.91E+00,2.895248235
2.37E+00,2.62E+01,9.47E-01,1.05E+01,4.13E+00,9.92791982
2.44E+00,2.64E+01,9.47E-01,1.04E+01,4.06E+00,9.786630762
2.42E+00,3.58E+01,9.48E-01,8.43E+00,4.65E+00,4.859620254
2.39E+00,2.88E+01,9.51E-01,9.99E+00,3.94E+00,7.958248594
2.39E+00,3.16E+01,9.52E-01,8.96E+00,4.57E+00,6.436771247
