Basal lumen diameter (mm),Infill density,Taper ratio,Cochlear width (mm),Cochlear height (mm),Matrix resistivity (kohm.cm)
2.13E+00,8.58E+01,7.46E-01,1.23E+01,3.66E+00,0.824082424
2.39E+00,9.78E+01,7.13E-01,1.17E+01,4.25E+00,0.641986917
2.35E+00,8.81E+01,6.83E-01,1.19E+01,3.81E+00,0.783095653
2.32E+00,9.51E+01,7.56E-01,1.12E+01,3.59E+00,0.676444863
2.30E+00,9.79E+01,7.73E-01,1.18E+01,4.24E+00,0.640820037
2.17E+00,9.77E+01,6.55E-01,1.10E+01,3.87E+00,0.642906859
2.25E+00,8.31E+01,7.44E-01,1.22E+01,3.59E+00,0.875802727
2.32E+00,9.01E+01,7.26E-01,1.26E+01,3.96E+00,0.7497992
2.26E+00,9.83E+01,7.11E-01,1.18E+01,4.16E+00,0.635023246
2.25E+00,9.71E+01,7.03E-01,1.17E+01,4.02E+00,0.65027978
2.23E+00,9.18E+01,7.60E-01,1.13E+01,3.79E+00,0.724301253
2.32E+00,9.14E+01,6.56E-01,1.18E+01,3.89E+00,0.730132488
2.47E+00,8.78E+01,7.06E-01,1.25E+01,4.05E+00,0.787509663
2.23E+00,9.69E+01,6.91E-01,1.14E+01,4.02E+00,0.653421221
2.12E+00,9.64E+01,7.38E-01,1.07E+01,3.78E+00,0.659668912
2.20E+00,9.06E+01,6.78E-01,1.17E+01,3.77E+00,0.742129989
2.40E+00,8.92E+01,7.31E-01,1.20E+01,3.94E+00,0.764540968
2.23E+00,9.41E+01,6.68E-01,1.11E+01,3.74E+00,0.689931169
2.23E+00,8.45E+01,7.79E-01,1.23E+01,3.83E+00,0.84784145
2.27E+00,8.00E+01,7.60E-01,1.24E+01,3.60E+00,0.942468019
2.23E+00,9.53E+01,6.57E-01,1.13E+01,3.84E+00,0.67401526
2.34E+00,9.64E+01,7.70E-01,1.23E+01,4.39E+00,0.659533919
2.40E+00,9.64E+01,6.73E-01,1.16E+01,4.07E+00,0.659219173
2.29E+00,8.38E+01,7.39E-01,1.21E+01,3.71E+00,0.862679952
2.28E+00,8.38E+01,6.52E-01,1.23E+01,3.64E+00,0.862030005
2.21E+00,8.68E+01,7.12E-01,1.22E+01,3.73E+00,0.805919639
2.12E+00,9.29E+01,6.75E-01,1.12E+01,3.73E+00,0.707976303
2.24E+00,7.97E+01,7.43E-01,1.26E+01,3.57E+00,0.948977367
2.32E+00,8.85E+01,7.70E-01,1.15E+01,3.82E+00,0.775846601
2.22E+00,9.73E+01,7.59E-01,1.18E+01,4.12E+00,0.647538029
2.34E+00,9.18E+01,7.29E-01,1.17E+01,3.93E+00,0.724279617
2.47E+00,9.39E+01,6.68E-01,1.18E+01,4.09E+00,0.693513451
2.22E+00,9.46E+01,6.95E-01,1.14E+01,3.82E+00,0.683345867
2.32E+00,8.72E+01,6.44E-01,1.21E+01,3.78E+00,0.798530174
2.25E+00,8.19E+01,7.69E-01,1.22E+01,3.72E+00,0.899996713
2.12E+00,9.42E+01,7.72E-01,1.19E+01,3.96E+00,0.688699443
2.36E+00,9.21E+01,6.56E-01,1.17E+01,3.92E+00,0.719008564
2.30E+00,9.84E+01,7.67E-01,1.19E+01,4.23E+00,0.634560707
2.38E+00,8.43E+01,7.06E-01,1.22E+01,3.71E+00,0.85197257
2.15E+00,9.02E+01,6.40E-01,1.13E+01,3.63E+00,0.748804943
2.27E+00,9.39E+01,7.57E-01,1.21E+01,4.10E+00,0.693469992
