Basal lumen diameter (mm),Infill density,Taper ratio,Cochlear width (mm),Cochlear height (mm),Matrix resistivity (kohm.cm)
2.50E+00,3.48E+01,9.44E-01,7.34E+00,4.58E+00,5.190063164
2.45E+00,3.33E+01,9.52E-01,7.39E+00,4.11E+00,5.724253386
2.43E+00,3.35E+01,9.56E-01,7.41E+00,4.55E+00,5.630993457
2.47E+00,3.43E+01,9.44E-01,7.36E+00,4.60E+00,5.356920555
2.50E+00,3.23E+01,9.35E-01,7.45E+00,4.07E+00,6.122533882
2.39E+00,3.31E+01,9.49E-01,7.35E+00,4.17E+00,5.800008876
2.47E+00,3.42E+01,9.40E-01,7.35E+00,4.04E+00,5.396156177
2.45E+00,3.44E+01,9.39E-01,7.40E+00,4.51E+00,5.327378952
2.46E+00,3.46E+01,9.42E-01,7.35E+00,4.19E+00,5.255993412
2.35E+00,3.50E+01,9.59E-01,7.35E+00,4.70E+00,5.102585312
2.43E+00,3.34E+01,9.60E-01,7.37E+00,3.97E+00,5.669063086
2.42E+00,3.29E+01,9.38E-01,7.40E+00,4.18E+00,5.857983987
2.50E+00,3.27E+01,9.36E-01,7.42E+00,4.18E+00,5.962447057
2.45E+00,3.38E+01,9.59E-01,7.40E+00,4.09E+00,5.52929002
2.19E+00,6.28E+01,9.25E-01,7.46E+00,3.70E+00,1.512911116
2.46E+00,3.43E+01,9.52E-01,7.38E+00,4.21E+00,5.345797405
2.45E+00,3.41E+01,9.40E-01,7.38E+00,4.22E+00,5.409476786
2.50E+00,3.19E+01,9.58E-01,7.40E+00,4.13E+00,6.303069359
2.39E+00,3.53E+01,9.59E-01,7.38E+00,4.24E+00,5.026868696
2.23E+00,6.42E+01,9.32E-01,7.47E+00,3.70E+00,1.450445597
2.44E+00,3.34E+01,9.60E-01,7.36E+00,4.51E+00,5.686286542
2.44E+00,3.39E+01,9.32E-01,7.38E+00,4.20E+00,5.499750204
2.44E+00,3.17E+01,9.55E-01,7.73E+00,4.33E+00,6.403447583
2.37E+00,3.41E+01,9.52E-01,7.35E+00,4.53E+00,5.408037746
2.41E+00,3.29E+01,9.53E-01,7.36E+00,4.27E+00,5.87643119
2.48E+00,3.25E+01,9.50E-01,7.36E+00,4.20E+00,6.023510505
2.45E+00,3.53E+01,9.58E-01,7.37E+00,4.48E+00,5.02130006
2.43E+00,3.35E+01,9.53E-01,7.42E+00,3.97E+00,5.647101161
2.37E+00,3.31E+01,9.58E-01,7.38E+00,4.04E+00,5.803969792
2.49E+00,3.30E+01,9.44E-01,7.43E+00,4.02E+00,5.83306514
2.47E+00,3.53E+01,9.38E-01,7.38E+00,4.63E+00,5.026561081
2.49E+00,3.16E+01,9.44E-01,7.35E+00,4.14E+00,6.438325457
2.44E+00,3.41E+01,9.38E-01,7.36E+00,4.18E+00,5.434783106
2.49E+00,3.34E+01,9.52E-01,7.35E+00,4.17E+00,5.688052435
2.43E+00,3.38E+01,9.55E-01,7.45E+00,4.54E+00,5.536876731
2.46E+00,3.27E+01,9.45E-01,7.44E+00,4.22E+00,5.945614004
2.45E+00,3.28E+01,9.52E-01,7.45E+00,3.96E+00,5.92453296
2.42E+00,3.38E+01,9.60E-01,7.35E+00,4.20E+00,5.521001645
2.43E+00,3.24E+01,9.56E-01,7.50E+00,4.47E+00,6.070302196
2.47E+00,3.48E+01,9.51E-01,7.40E+00,4.52E+00,5.177049822
2.21E+00,6.52E+01,9.36E-01,7.40E+00,3.74E+00,1.407123274
2.50E+00,3.46E+01,9.28E-01,7.35E+00,4.21E+00,5.246960902
