Basal lumen diameter (mm),Infill density,Taper ratio,Cochlear width (mm),Cochlear height (mm),Matrix resistivity (kohm.cm)
2.33E+00,4.64E+01,8.91E-01,7.60E+00,4.18E+00,2.790869503
2.20E+00,3.65E+01,9.42E-01,8.26E+00,4.13E+00,4.656725469
2.48E+00,2.58E+01,9.59E-01,8.82E+00,3.84E+00,10.33419696
2.35E+00,3.94E+01,8.84E-01,7.50E+00,4.48E+00,3.952947342
2.49E+00,3.94E+01,8.80E-01,7.80E+00,4.36E+00,3.941531898
2.45E+00,3.07E+01,9.24E-01,8.52E+00,3.85E+00,6.883725688
2.20E+00,2.50E+01,9.57E-01,8.30E+00,4.16E+00,11.16609868
2.40E+00,4.21E+01,8.78E-01,7.79E+00,4.30E+00,3.427903812
2.26E+00,3.80E+01,9.41E-01,8.64E+00,3.76E+00,4.283546513
2.09E+00,4.97E+01,9.43E-01,7.92E+00,3.80E+00,2.430544963
2.43E+00,2.72E+01,8.93E-01,8.72E+00,3.87E+00,9.096071164
2.30E+00,4.10E+01,9.12E-01,7.98E+00,3.96E+00,3.628640604
2.30E+00,2.96E+01,9.03E-01,8.84E+00,3.88E+00,7.463408822
2.26E+00,2.29E+01,9.39E-01,9.28E+00,3.72E+00,13.85794168
2.39E+00,3.84E+01,8.91E-01,8.07E+00,4.03E+00,4.185776728
2.49E+00,2.57E+01,9.40E-01,8.97E+00,3.93E+00,10.48943287
2.17E+00,3.10E+01,9.39E-01,9.02E+00,3.69E+00,6.718151185
2.49E+00,4.24E+01,8.90E-01,7.79E+00,4.40E+00,3.37673617
2.45E+00,2.43E+01,9.27E-01,8.20E+00,4.24E+00,12.03172912
2.36E+00,2.65E+01,9.37E-01,8.96E+00,3.98E+00,9.682763347
2.43E+00,2.83E+01,9.15E-01,8.89E+00,3.83E+00,8.323467425
2.43E+00,2.97E+01,9.49E-01,8.73E+00,3.82E+00,7.408561327
2.40E+00,2.58E+01,9.20E-01,9.54E+00,3.68E+00,10.34454691
2.47E+00,3.49E+01,9.41E-01,7.86E+00,4.49E+00,5.146102025
2.34E+00,3.09E+01,9.26E-01,8.63E+00,3.87E+00,6.790419919
2.44E+00,2.42E+01,9.55E-01,9.47E+00,3.76E+00,12.10166878
2.48E+00,4.37E+01,8.98E-01,7.92E+00,4.31E+00,3.168339903
2.36E+00,2.95E+01,9.38E-01,8.86E+00,3.91E+00,7.52106274
2.43E+00,4.17E+01,8.94E-01,8.03E+00,4.19E+00,3.500407825
2.46E+00,3.02E+01,8.96E-01,7.85E+00,4.72E+00,7.142945355
2.43E+00,2.78E+01,9.35E-01,8.96E+00,3.88E+00,8.679779918
2.36E+00,3.21E+01,9.14E-01,7.94E+00,4.50E+00,6.223792668
2.27E+00,2.86E+01,9.29E-01,9.11E+00,3.77E+00,8.066764947
2.37E+00,3.75E+01,9.21E-01,7.92E+00,4.11E+00,4.40016103
2.37E+00,2.85E+01,9.13E-01,8.84E+00,3.77E+00,8.163101116
2.14E+00,5.14E+01,9.58E-01,7.59E+00,3.98E+00,2.269138241
2.43E+00,2.28E+01,9.04E-01,9.19E+00,3.98E+00,14.12663998
2.48E+00,3.21E+01,9.17E-01,8.45E+00,3.95E+00,6.184660686
2.31E+00,3.42E+01,9.06E-01,8.12E+00,4.27E+00,5.398482783
2.35E+00,2.96E+01,8.98E-01,8.30E+00,4.26E+00,7.45339095
2.42E+00,2.92E+01,9.17E-01,8.85E+00,3.92E+00,7.715762051
2.40E+00,2.95E+01,9.60E-01,8.78E+00,3.95E+00,7.533922436
2.43E+00,3.35E+01,9.57E-01,8.23E+00,4.11E+00,5.630907597
2.28E+00,3.46E+01,9.03E-01,8.02E+00,4.11E+00,5.260315359
2.46E+00,3.64E+01,9.17E-01,8.25E+00,4.37E+00,4.679753249
2.38E+00,2.93E+01,9.13E-01,8.61E+00,3.83E+00,7.664174929
2.36E+00,2.36E+01,9.29E-01,8.85E+00,4.16E+00,12.84744722
2.46E+00,2.75E+01,9.29E-01,8.60E+00,3.89E+00,8.90164643
2.37E+00,2.76E+01,9.40E-01,8.86E+00,4.11E+00,8.788365599
2.49E+00,3.85E+01,8.44E-01,7.77E+00,4.36E+00,4.145239078
2.31E+00,3.43E+01,9.04E-01,7.80E+00,4.44E+00,5.332227749
2.39E+00,3.32E+01,9.32E-01,8.68E+00,3.81E+00,5.733635271
2.34E+00,3.58E+01,9.31E-01,8.11E+00,4.19E+00,4.877228937
2.45E+00,2.89E+01,8.98E-01,8.43E+00,3.92E+00,7.921028677
2.42E+00,2.84E+01,9.51E-01,8.68E+00,3.94E+00,8.247341219
2.49E+00,3.06E+01,9.32E-01,8.39E+00,4.11E+00,6.931243777
2.39E+00,3.09E+01,9.51E-01,7.95E+00,4.21E+00,6.782542015
2.14E+00,3.68E+01,9.18E-01,8.79E+00,3.77E+00,4.58649617
2.11E+00,3.80E+01,9.58E-01,8.07E+00,3.95E+00,4.263007416
2.50E+00,2.90E+01,9.22E-01,8.42E+00,4.41E+00,7.826647204
2.36E+00,3.68E+01,9.26E-01,8.40E+00,4.01E+00,4.57686963
2.30E+00,2.90E+01,9.52E-01,8.58E+00,3.81E+00,7.857589034
2.22E+00,2.64E+01,9.47E-01,8.96E+00,3.82E+00,9.766294145
2.48E+00,2.81E+01,9.26E-01,8.81E+00,3.97E+00,8.40279827
2.47E+00,2.71E+01,9.42E-01,9.07E+00,3.80E+00,9.202319898
2.35E+00,2.46E+01,9.56E-01,8.27E+00,4.16E+00,11.59927452
2.44E+00,3.52E+01,8.95E-01,8.26E+00,4.14E+00,5.035185705
2.37E+00,2.75E+01,9.33E-01,8.67E+00,3.90E+00,8.881851857
2.38E+00,2.54E+01,9.14E-01,8.48E+00,4.24E+00,10.77114334
2.41E+00,3.05E+01,9.13E-01,8.63E+00,3.97E+00,6.972053442
2.42E+00,3.28E+01,9.35E-01,8.07E+00,4.40E+00,5.900085329
2.35E+00,2.85E+01,9.14E-01,8.84E+00,4.01E+00,8.16932593
2.45E+00,3.01E+01,9.16E-01,8.19E+00,4.37E+00,7.17183822
2.40E+00,3.09E+01,9.34E-01,8.62E+00,3.86E+00,6.753037689
2.40E+00,2.84E+01,9.06E-01,8.51E+00,4.01E+00,8.223917951
2.46E+00,3.80E+01,9.17E-01,7.64E+00,4.52E+00,4.273505927
2.38E+00,3.29E+01,9.53E-01,8.35E+00,3.90E+00,5.877219072
2.35E+00,2.84E+01,9.24E-01,9.03E+00,3.70E+00,8.208087726
2.30E+00,3.50E+01,9.51E-01,7.87E+00,4.06E+00,5.103932202
2.41E+00,4.02E+01,9.19E-01,8.30E+00,3.85E+00,3.781055197
2.36E+00,2.28E+01,9.24E-01,9.33E+00,3.94E+00,14.0430343
2.47E+00,2.62E+01,9.30E-01,9.16E+00,3.86E+00,9.950393617
2.36E+00,2.82E+01,9.20E-01,8.23E+00,4.15E+00,8.349236298
2.38E+00,2.82E+01,9.44E-01,8.78E+00,3.88E+00,8.33232133
2.40E+00,3.98E+01,8.82E-01,8.70E+00,3.74E+00,3.871132054
2.44E+00,3.03E+01,9.46E-01,8.71E+00,4.10E+00,7.076939111
2.30E+00,3.58E+01,9.15E-01,8.24E+00,3.93E+00,4.875310157
2.32E+00,4.01E+01,9.41E-01,8.11E+00,3.91E+00,3.810999777
2.49E+00,2.98E+01,9.12E-01,9.00E+00,3.73E+00,7.375697978
2.40E+00,2.79E+01,9.27E-01,8.53E+00,4.07E+00,8.567094688
2.35E+00,3.80E+01,9.17E-01,7.91E+00,4.08E+00,4.273621569
2.30E+00,2.30E+01,9.17E-01,9.28E+00,3.80E+00,13.77523617
2.21E+00,4.22E+01,9.21E-01,7.71E+00,4.34E+00,3.405675764
2.47E+00,2.44E+01,9.51E-01,9.19E+00,3.79E+00,11.88940408
2.44E+00,2.49E+01,9.14E-01,8.56E+00,4.24E+00,11.31572493
2.46E+00,2.69E+01,8.66E-01,8.61E+00,4.15E+00,9.380464836
2.09E+00,4.25E+01,9.57E-01,8.24E+00,3.92E+00,3.355578465
2.46E+00,2.83E+01,9.00E-01,8.84E+00,3.88E+00,8.297861643
2.41E+00,2.90E+01,9.32E-01,8.74E+00,3.82E+00,7.856152816
2.39E+00,2.39E+01,9.26E-01,9.08E+00,4.05E+00,12.54280456
2.14E+00,5.18E+01,9.29E-01,7.59E+00,4.05E+00,2.233960325
2.45E+00,5.25E+01,8.63E-01,7.57E+00,4.22E+00,2.168121425
2.35E+00,2.29E+01,9.29E-01,9.15E+00,3.70E+00,13.94363059
2.47E+00,3.88E+01,8.65E-01,7.48E+00,4.43E+00,4.084300951
2.43E+00,3.47E+01,8.95E-01,7.89E+00,4.12E+00,5.222328611
2.30E+00,2.75E+01,9.49E-01,8.91E+00,3.89E+00,8.914771717
2.40E+00,2.42E+01,9.47E-01,8.29E+00,4.33E+00,12.06396981
2.14E+00,4.89E+01,9.22E-01,7.82E+00,3.93E+00,2.513371599
2.41E+00,3.01E+01,8.88E-01,8.89E+00,3.78E+00,7.208991863
2.46E+00,2.84E+01,9.56E-01,8.74E+00,3.92E+00,8.245373918
2.46E+00,2.88E+01,9.58E-01,8.12E+00,4.43E+00,7.982171246
2.21E+00,4.14E+01,9.25E-01,7.76E+00,4.25E+00,3.559505891
2.45E+00,3.54E+01,8.63E-01,7.78E+00,4.54E+00,5.000348812
